conversation_id,tweet_id,created_at,target_message,conversation_context,intent,label_notes
34596,34597,Wed Nov 01 13:28:01 +0000 2017,@AppleSupport iMessage stopped working and won’t activate anymore—is that a problem on your side?,"APPLESUPPORT: @123495 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
CUSTOMER: @AppleSupport iMessage stopped working and won’t activate anymore—is that a problem on your side?",app_issue,
34683,34684,Wed Nov 01 13:20:13 +0000 2017,"@AppleSupport Iphone 6S, IOS 11.0.3","APPLESUPPORT: @123521 We want to look into what's going on with your TouchID. To start, which device and iOS version are you using?
CUSTOMER: @AppleSupport Iphone 6S, IOS 11.0.3",device_performance,
35270,35268,Wed Nov 01 09:16:26 +0000 2017,"@AppleSupport iPhone 7 and I updated to the newest ios but the phone started crashing and the screen freezing, also powering off","CUSTOMER: @AppleSupport iPhone 7 and I updated to the newest ios but the phone started crashing and the screen freezing, also powering off
APPLESUPPORT: @123686 We'd like to help out with this. Join us in DM so that we can gather more details about your device. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport How can I go back to the previous ios version? This one sucks for real... still keeps being stuck 😫🤢",ios_update,4.0
55928,55927,Thu Nov 23 00:21:00 +0000 2017,"@AppleSupport It’s happening while I’m on calls, and in apps","CUSTOMER: @AppleSupport It’s happening while I’m on calls, and in apps",connectivity,
72148,72149,Thu Nov 30 15:11:19 +0000 2017,"@AppleSupport im using ios 11, it’s super laggy whenever i receive a notification or sometimes when im typing a message, after i hit send itll cut off the last few letters i typed","APPLESUPPORT: @132201 We can help with iPhone performance.  Do you know what version of the iOS is on the device?  

Also, are you seeing this issue with any specific apps or usage?  Do you do anything to restore function?
CUSTOMER: @AppleSupport im using ios 11, it’s super laggy whenever i receive a notification or sometimes when im typing a message, after i hit send itll cut off the last few letters i typed",connectivity,
84193,84192,Wed Nov 29 21:20:31 +0000 2017,@AppleSupport 11.0.2,"CUSTOMER: @AppleSupport 11.0.2
APPLESUPPORT: @134515 This is a couple versions behind the latest iOS, but we'll try some additional steps first. When this happens, do you have the Music app open? Are you able to use the Music app without any issues otherwise?
CUSTOMER: @AppleSupport It’s seems to work fine but just plays all songs on shuffle, even if I press the first song on an album.
APPLESUPPORT: @134515 Check to see if shuffle is selected. Follow these steps and let us know the result: https://t.co/NhXCO1Hh4z",apple_id_account,
96998,96999,Thu Nov 30 16:32:19 +0000 2017,@AppleSupport I️ was on the public beta list but recently unsubscribed https://t.co/Mj2bL6wAY1,"APPLESUPPORT: @137172 We want to help. Which iOS version is your phone running?
CUSTOMER: @AppleSupport I️ was on the public beta list but recently unsubscribed https://t.co/Mj2bL6wAY1",app_store_purchase,
148153,148154,Fri Nov 24 15:45:26 +0000 2017,@AppleSupport it seems to be charging although it says not charging!!! beggars belief!!,"APPLESUPPORT: @149700 You’re in the right place for assistance. This article has some helpful information on charging your iPhone with a computer: https://t.co/uqxquyfdn0

If you need anything else, let us know in DM. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport it seems to be charging although it says not charging!!! beggars belief!!",music_media,
152816,152817,Fri Nov 24 16:29:46 +0000 2017,@AppleSupport Apparently my 17-year old son @8969 was playing a prank on his dear old mom. @applesupport https://t.co/YiNCrVV017,"APPLESUPPORT: @150952 We’re glad to help with your predictive text. Let’s start by checking if you have a text replacement. Go ahead and use these steps to check and let us know what you find: https://t.co/U5VKSTl2CD
CUSTOMER: @AppleSupport Apparently my 17-year old son @8969 was playing a prank on his dear old mom. @applesupport https://t.co/YiNCrVV017",feature_how_to,
176008,176007,Sat Nov 25 00:12:47 +0000 2017,@AppleSupport I never use Bluetooth in the first place,"CUSTOMER: @AppleSupport I never use Bluetooth in the first place
APPLESUPPORT: @157387 Thanks for the info. Are you using iOS 11? If so, toggling this from the Control Center only disconnects Bluetooth temporarily. If you'd like to turn it off completely, tap on Settings &gt; Bluetooth. More info here: https://t.co/G7BHuQnDS6",service_support,
188280,188281,Wed Oct 04 17:29:01 +0000 2017,"@AppleSupport Yes, even wen I connect my iPhone to a Hotspot of another device of mine...still same issue","APPLESUPPORT: @160178 Hey there! We'd be happy to help with any issues you might be experiencing with iOS 11. Does it happen with multiple Wi-Fi's?
CUSTOMER: @AppleSupport Yes, even wen I connect my iPhone to a Hotspot of another device of mine...still same issue",other_unclear,
216069,216070,Thu Nov 23 16:13:06 +0000 2017,"@AppleSupport 45000 INR is what I was asked to shell. On the mother board which the apple service centre claims is spoiled because of ""overuse""","APPLESUPPORT: @167368 We'd like to know more about the trouble you're experiencing with your MacBook Air. Reach out to us in Direct Message and we'll see what can be done. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport 45000 INR is what I was asked to shell. On the mother board which the apple service centre claims is spoiled because of ""overuse""",service_support,
242786,242783,Wed Oct 04 13:39:37 +0000 2017,"@AppleSupport iPhone 5S, when I update to iOS 11 it’s always like this.","CUSTOMER: @AppleSupport iPhone 5S, when I update to iOS 11 it’s always like this.
APPLESUPPORT: @173673 Which version of iOS 11 do you have installed? When did you first install the update?
CUSTOMER: @AppleSupport I have installed iOS 11.0.2 just now, still found this issue, i updated to iOS 11 is already 10 days.",ios_update,
245158,245159,Wed Oct 04 15:36:38 +0000 2017,@AppleSupport I’ve tried that a few times to no avail. I don’t know if there’s a hidden setting maybe I need to activate ? It just stays white after 321 https://t.co/D7yg1h6D6K,"APPLESUPPORT: @174199 We're certainly happy to take a look into this with you. Power your phone off and then on again, does the feature work then?
CUSTOMER: @AppleSupport I’ve tried that a few times to no avail. I don’t know if there’s a hidden setting maybe I need to activate ? It just stays white after 321 https://t.co/D7yg1h6D6K",other_unclear,
256750,256749,Thu Oct 05 18:35:34 +0000 2017,"@AppleSupport WiFi not connecting it needs log in, WiFi turning on and off by itself, all my settings have been reset (sounds, etc) poor connectivity","CUSTOMER: @AppleSupport WiFi not connecting it needs log in, WiFi turning on and off by itself, all my settings have been reset (sounds, etc) poor connectivity
APPLESUPPORT: @177056 We would like to look into this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT",connectivity,
260843,260844,Thu Oct 05 21:37:54 +0000 2017,@AppleSupport Back to your question! Here I just provided a screenshot: https://t.co/w9lYUHfX4I,"APPLESUPPORT: @178103 Let's look into what's causing your iPhone to restart. What iOS 11 version do you have? It's under Settings &gt; General &gt; About
CUSTOMER: @AppleSupport Back to your question! Here I just provided a screenshot: https://t.co/w9lYUHfX4I",other_unclear,
285718,285719,Fri Oct 06 15:24:01 +0000 2017,@AppleSupport Thanks for the response. It was really convoluted but I got it working. Seems weird that Music isn’t a share target.,"APPLESUPPORT: @159144 The music would need to be added to Apple Music app or another player for the Apple Watch to play the music.
CUSTOMER: @AppleSupport Thanks for the response. It was really convoluted but I got it working. Seems weird that Music isn’t a share target.",music_media,
288468,288469,Fri Oct 06 15:20:58 +0000 2017,@AppleSupport Thank you @AppleSupport !! Appreciate your assistance :) 🤗😊,"APPLESUPPORT: @184718 We'd love to help! Try these steps to find auto-brightness: https://t.co/gvy8yXCine
CUSTOMER: @AppleSupport Thank you @AppleSupport !! Appreciate your assistance :) 🤗😊",other_unclear,
294933,294932,Fri Oct 06 15:27:27 +0000 2017,"@AppleSupport All settings are as shown in the document, but some Podcast-episodes won’t sync and need to be downloaded on the device after syncing","CUSTOMER: @AppleSupport All settings are as shown in the document, but some Podcast-episodes won’t sync and need to be downloaded on the device after syncing
APPLESUPPORT: @186237 Send us a DM. We'll work with you on this from there. https://t.co/GDrqU22YpT",music_media,
299668,299669,Fri Oct 06 20:35:24 +0000 2017,@AppleSupport No I turned it on... but why did it do that?? Get with the program with this iOS... 3rd version I had to download since you upgraded it,"APPLESUPPORT: @187432 We'd like to look into this with you. Are you looking to turn off all cellular data? Or having trouble enabling it?
CUSTOMER: @AppleSupport No I turned it on... but why did it do that?? Get with the program with this iOS... 3rd version I had to download since you upgraded it",ios_update,
302649,302650,Fri Oct 06 21:49:41 +0000 2017,@AppleSupport yes it does,"APPLESUPPORT: @184695 Let us know if you still have this issue after restarting and if it happens on Wi-Fi.
CUSTOMER: @AppleSupport yes it does",other_unclear,
